No.;ID Distrik;Tanggal kejadian;Distrik;Propinsi;Latitude dan Longitude
133;3218;25/10/2020;PANGANDARAN;JAWA BARAT;0
134;3278;25/10/2020;KOTA TASIKMALAYA;JAWA BARAT;0
135;3206;25/10/2020;TASIKMALAYA;JAWA BARAT;0
136;7104;09/09/2020;KEPULAUAN TALAUD;SULAWESI UTARA;0
137;3320;07/07/2020;JEPARA;JAWA TENGAH;0
138;1172;18/06/2020;KOTA SABANG;ACEH;0
139;5204;13/06/2020;SUMBAWA;NUSA TENGGARA BARAT;0
140;5205;13/06/2020;DOMPU;NUSA TENGGARA BARAT;0
141;8271;04/06/2020;KOTA TERNATE;MALUKU UTARA;0
142;8207;04/06/2020;PULAU MOROTAI;MALUKU UTARA;0
143;8205;04/06/2020;HALMAHERA UTARA;MALUKU UTARA;0
144;1172;04/06/2020;KOTA SABANG;ACEH;0
145;8201;04/06/2020;HALMAHERA BARAT;MALUKU UTARA;0
146;1203;30/04/2020;TAPANULI SELATAN;SUMATERA UTARA;0
147;7210;28/03/2020;SIGI;SULAWESI TENGAH;Lintang : 1.72 LS  Bujur : 120.14 BT 
148;9403;26/03/2020;JAYAPURA;PAPUA;Lintang : 2.72 LS Bujur : 139.26 BT
149;3207;11/03/2020;CIAMIS;JAWA BARAT;0
150;3202;10/03/2020;SUKABUMI;JAWA BARAT;Lintang : 6.89 LS Bujur : 106.62 BT
151;3201;10/03/2020;BOGOR;JAWA BARAT;Lintang : 6.89 LS Bujur : 106.62 BT
152;8103;08/02/2020;MALUKU TENGAH;MALUKU;0
153;1101;22/01/2020;SIMEULUE;ACEH;0
154;1101;07/01/2020;SIMEULUE;ACEH;0
155;3202;26/12/2019;SUKABUMI;JAWA BARAT;0
156;8103;25/11/2019;MALUKU TENGAH;MALUKU;0
157;7102;14/11/2019;MINAHASA;SULAWESI UTARA;0
158;8271;14/11/2019;KOTA TERNATE;MALUKU UTARA;0
159;8171;14/11/2019;KOTA AMBON;MALUKU;0
160;7109;14/11/2019;MINAHASA TENGGARA;SULAWESI UTARA;0
161;3508;13/11/2019;LUMAJANG;JAWA TIMUR;0
162;8103;12/11/2019;MALUKU TENGAH;MALUKU;0
163;8171;12/11/2019;KOTA AMBON;MALUKU;0
164;8171;10/10/2019;KOTA AMBON;MALUKU;0
165;3202;01/10/2019;SUKABUMI;JAWA BARAT;0
166;8103;26/09/2019;MALUKU TENGAH;MALUKU;0
167;8171;26/09/2019;KOTA AMBON;MALUKU;0
168;8106;26/09/2019;SERAM BAGIAN BARAT;MALUKU;0
169;3601;02/08/2019;PANDEGLANG;BANTEN;0
170;3203;02/08/2019;CIANJUR;JAWA BARAT;0
171;3202;02/08/2019;SUKABUMI;JAWA BARAT;0
172;3205;02/08/2019;GARUT;JAWA BARAT;0
173;3604;02/08/2019;SERANG;BANTEN;0
174;3271;02/08/2019;KOTA BOGOR;JAWA BARAT;0
175;3201;02/08/2019;BOGOR;JAWA BARAT;0
176;3602;02/08/2019;LEBAK;BANTEN;0
177;3278;02/08/2019;KOTA TASIKMALAYA;JAWA BARAT;0
178;3204;02/08/2019;BANDUNG;JAWA BARAT;0
179;3301;02/08/2019;CILACAP;JAWA TENGAH;0
180;3672;02/08/2019;KOTA CILEGON;BANTEN;0
181;1803;02/08/2019;LAMPUNG SELATAN;LAMPUNG;0
182;3217;02/08/2019;BANDUNG BARAT;JAWA BARAT;0
183;3510;16/07/2019;BANYUWANGI;JAWA TIMUR;0
184;5103;16/07/2019;BADUNG;BALI;0
185;3509;16/07/2019;JEMBER;JAWA TIMUR;0
186;5171;16/07/2019;KOTA DENPASAR;BALI;0
187;5108;16/07/2019;BULELENG;BALI;0
188;5101;16/07/2019;JEMBRANA;BALI;0
189;5104;16/07/2019;GIANYAR;BALI;0
190;8204;14/07/2019;HALMAHERA SELATAN;MALUKU UTARA;0
191;5204;13/07/2019;SUMBAWA;NUSA TENGGARA BARAT;Lintang : 8.97 LS Bujur : 117.83 BT
