Tahun,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Latitude,Longitude,Kota
2021,0,0,0,0,0,0,0,0,0,0,1,0,-7.294588,112.462245,Gresik
2021,0,0,0,0,0,0,0,0,0,0,1,0,-7.298776,112.462869,Gresik
2021,0,0,0,0,0,0,0,0,0,0,1,0,-7.359345,112.603202,Gresik
2021,0,0,0,0,0,0,0,0,0,0,1,0,-6.90481957,112.5578373,Gresik
2021,0,0,0,0,0,0,0,0,0,0,1,0,-7.294579,112.462205,Gresik
2021,0,0,0,0,0,0,0,0,0,0,1,0,-7.056405,112.573759,Gresik
2021,0,0,0,0,0,0,0,0,0,0,1,0,-7.058203,113.261901,Sampang
2021,0,0,0,0,0,0,0,0,0,0,0,1,-7.058203,113.261901,Sampang
2021,0,0,0,0,0,0,0,0,0,0,0,1,-7.058203,113.261901,Sampang
2021,0,0,0,0,0,0,0,0,0,0,0,1,-7.236178,112.537317,Gresik
2021,0,0,0,0,0,0,0,0,0,0,0,1,-7.294534,112.462181,Gresik
2021,0,0,0,0,0,0,0,0,0,0,0,1,-7.733217,113.693413,Situbondo
2021,0,0,0,0,0,0,0,0,0,0,0,1,-7.154931353,113.4786629,Pamekasan
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.265138,112.48275,Gresik
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.95483,112.8924,Pasuruan
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.8244,112.58806,Mojokerto
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.83221,112.79204,Gresik
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.58503,112.53986,Mojokerto
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.40948,111.93933,Bojonegore
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.887,113.56529,Probolinggo
2020,1,0,0,0,0,0,0,0,0,0,0,0,-8.80425,114.72191,Banyuwangi
2020,1,0,0,0,0,0,0,0,0,0,0,0,-8.86322,112.90733,Malang
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.68109,112.79341,Sidoarjo
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.96162,111.90041,Bojonegore
2020,1,0,0,0,0,0,0,0,0,0,0,0,-7.94655,113.99925,Bondowoso
2020,1,0,0,0,0,0,0,0,0,0,0,0,-8.55437,112.40696,Blitar
2020,0,1,0,0,0,0,0,0,0,0,0,0,-8.52179,113.89128,Jember
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.52592,112.68684,Sidoarjo
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.63834,112.7387,Mojokerto
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.92892,112.71202,Jombang
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.43651,111.79906,Bojonegoro
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.85709,112.86494,Pasuruan
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.16484,112.97253,Gresik
2020,0,1,0,0,0,0,0,0,0,0,0,0,-8.55484,112.62284,Blitar
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.20492,112.58803,Gresik
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.74028,112.9414,Mojokerto
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.47204,112.6718,Gresik
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.97444,111.93832,Madiun
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.61448,111.51295,Ngawi
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.94624,112.93649,Sidoarjo
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.90051,111.81315,Madiun
2020,0,1,0,0,0,0,0,0,0,0,0,0,-8.61541,112.95369,Malang
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.97779,111.75176,Ponorogo
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.96373,112.93514,Pasuruan
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.42973,111.9698,Bojonegoro
2020,0,1,0,0,0,0,0,0,0,0,0,0,-6.99071,111.93106,Tuban
2020,0,1,0,0,0,0,0,0,0,0,0,0,-6.99953,113.92433,Sumenep
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.71733,112.54013,Gresik
2020,0,1,0,0,0,0,0,0,0,0,0,0,-8.40156,113.78461,Jember
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.88248,113.65519,Probolinggo
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.84443,112.54785,Gresik
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.9996,112.69042,Mojokerto
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.62993,112.52948,Gresik
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.42421,112.91831,Bangkalan
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.49593,112.94755,Bangkalan
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.76047,112.98021,pasuruan
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.97718,]111.78621,Ponorogo
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.76836,112.79907,Mojokerto
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.8349,112.51296,mojokerto
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.79518,112.59689,Jombang
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.99433,112.78834,Jombang
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.71873,111.91696,Bojonegoro
2020,0,1,0,0,0,0,0,0,0,0,0,0,-8.38338,112.87675,Malang
2020,0,1,0,0,0,0,0,0,0,0,0,0,-7.92812,111.92688,Bojonegoro
2020,0,0,1,0,0,0,0,0,0,0,0,0,-8.43342,113.45241,Lumajang
2020,0,0,1,0,0,0,0,0,0,0,0,0,-8.85985,113.98736,Jember
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.95848,112.70845,Mojokerto
2020,0,0,1,0,0,0,0,0,0,0,0,0,-8.40358,114.4859,Banyuwangi
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.76232,112.88315,Pasuruan
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.71134,112.71335,Mojokerto
2020,0,0,1,0,0,0,0,0,0,0,0,0,-8.39277,114.85281,Banyuwangi
2020,0,0,1,0,0,0,0,0,0,0,0,0,-8.67972,114.3807,Banyuwangi
2020,0,0,1,0,0,0,0,0,0,0,0,0,-8.75292,113.2888,Lumajang
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.95629,113.9902,Bondowoso
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.90575,112.78668,Gresik
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.83185,112.86548,Kediri
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.98417,111.75332,Ponorogo
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.73469,112.29679,Jombang
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.90783,114.57864,SItubondo
2020,0,0,1,0,0,0,0,0,0,0,0,0,-7.76791,111.96279,Nganjuk
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.81442,111.97215,Nganjuk
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.94018,112.9483,Jombang
2020,0,0,0,1,0,0,0,0,0,0,0,0,-8.84703,113.80234,Jember
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.85257,114.8917,SItubondo
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.98632,112.92972,Bangkalan
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.72388,112.50588,Mojokerto
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.84582,112.6657,Mojokerto
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.76948,111.86281,Bojonegoro
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.1596,112.85588,Gresik
2020,0,0,0,1,0,0,0,0,0,0,0,0,-6.46157,111.90455,Tuban
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.3675,112.88353,Lamongan
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.87543,113.38438,Probolinggo
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.8227,111.66066,Madiun
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.59856,112.70829,Jombang
2020,0,0,0,1,0,0,0,0,0,0,0,0,-7.51992,112.87185,Lamongan
2020,0,0,0,1,0,0,0,0,0,0,0,0,-8.28273,113.86916,Jember
2020,0,0,0,0,1,0,0,0,0,0,0,0,-7.60414,112.98003,Bangkalan
2020,0,0,0,0,1,0,0,0,0,0,0,0,-8.11285,111.945,Tulungagung
2020,0,0,0,0,1,0,0,0,0,0,0,0,-7.86428,112.75004,Mojokerto
2020,0,0,0,0,1,0,0,0,0,0,0,0,-7.20444,112.60203,Lamongan
2020,0,0,0,0,1,0,0,0,0,0,0,0,-8.44732,112.41954,Blitar
2020,0,0,0,0,1,0,0,0,0,0,0,0,-8.86246,113.84409,Jember
2020,0,0,0,0,1,0,0,0,0,0,0,0,-7.42773,112.57949,Gresik
2020,0,0,0,0,1,0,0,0,0,0,0,0,-8.60931,114.73868,Banyuwangi
2020,0,0,0,0,1,0,0,0,0,0,0,0,-8.33996,112.8124,Malang
2020,0,0,0,0,1,0,0,0,0,0,0,0,-8.63033,113.88546,Jember
2020,0,0,0,0,0,1,0,0,0,0,0,0,-7.96528,114.43956,SItubondo
2020,0,0,0,0,0,0,0,0,1,0,0,0,-8.44164,112.89485,Malang
2020,0,0,0,0,0,0,0,0,1,0,0,0,-8.11767,112.90925,Malang
2020,0,0,0,0,0,0,0,0,0,1,0,0,-8.33905,112.63707,Malang
2020,0,0,0,0,0,0,0,0,0,1,0,0,-7.90736,113.91631,Probolinggo
2020,0,0,0,0,0,0,0,0,0,1,0,0,-7.99689,112.93625,Pasuruan
2020,0,0,0,0,0,0,0,0,0,1,0,0,-7.89929,112.96944,Pasuruan
2020,0,0,0,0,0,0,0,0,0,1,0,0,-7.66994,112.88298,Sidoarjo
2020,0,0,0,0,0,0,0,0,0,1,0,0,-7.977,112.83136,Mojokerto
2020,0,0,0,0,0,0,0,0,0,0,1,0,-7.94226,112.89489,Pasuruan
2020,0,0,0,0,0,0,0,0,0,0,1,0,-7.98673,112.9873,Sidoarjo
2020,0,0,0,0,0,0,0,0,0,0,1,0,-7.71805,112.51054,Jombang
